Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,295.597,(66),5289.22,5.67419,(1),2921.6,(1),none
1,268.961,(65),4354.01,3.46694,(2),3364.04,(0),none
2,245.237,(64),1887.32,3.21188,(3),1671.53,(2),none
3,365.513,(67),991.142,8.91914,(0),384.02,(8),none
4,186.453,(63),616.144,1.72672,(4),1009.21,(3),none
5,173.8,(62),340.97,1.48558,(5),667.399,(6),none
6,139.79,(61),218.497,0.817035,(6),675.293,(5),none
7,127.213,(60),189.794,0.762942,(7),680.565,(4),none
8,118.203,(59),126.124,0.647152,(8),526.893,(7),none
9,115.01,(58),70.9731,0.58234,(9),326.048,(10),none
10,107.238,(57),61.7313,0.477576,(10),335.238,(9),none
11,101.424,(56),39.8887,0.399222,(11),249.758,(12),none
12,84.0784,(53),30.2509,0.282701,(14),261.641,(11),none
13,85.3361,(54),28.4317,0.289838,(13),242.864,(13),none
14,79.9607,(52),18.9483,0.224234,(15),197.201,(14),none
15,93.6937,(55),13.7099,0.33282,(12),100.915,(64),none
16,79.2129,(51),12.2438,0.204722,(17),136.207,(27),none
17,78.0293,(50),10.6826,0.213631,(16),117.17,(41),none
18,71.5358,(49),9.72658,0.198757,(18),120.958,(39),none
19,62.0449,(46),9.27874,0.143888,(20),159.215,(21),none
20,69.4516,(48),9.05847,0.164184,(19),139.753,(25),none
21,60.5358,(45),6.96947,0.131418,(21),125.388,(36),none
22,62.3357,(47),5.92836,0.126341,(22),109.877,(49),none
23,36.0907,(36),0.510703,0.0115365,(25),179.565,(15),none
24,36.7816,(39),0.473875,0.0165853,(23),100.097,(66),none
25,36.9301,(40),0.439591,0.0130989,(24),122.207,(37),none
26,34.5886,(31),0.42241,0.0112934,(26),160.744,(19),none
27,33.5325,(25),0.379576,0.0101511,(28),146.929,(23),none
28,35.6429,(35),0.358284,0.0101994,(27),173.586,(16),none
29,37.192,(42),0.348383,0.00960991,(29),139.589,(26),none
30,36.2031,(37),0.331414,0.00782124,(33),172.418,(17),none
31,33.7698,(27),0.330622,0.00825189,(32),160.696,(20),none
32,37.6615,(44),0.321088,0.00753318,(36),167.687,(18),none
33,36.4312,(38),0.313112,0.00947513,(30),133.573,(33),none
34,33.6436,(26),0.25794,0.0094155,(31),110.835,(48),none
35,37.4924,(43),0.239087,0.00762521,(35),134.891,(31),none
36,34.0555,(28),0.232339,0.00672713,(40),147.294,(22),none
37,37.0348,(41),0.207291,0.00781489,(34),114.084,(46),none
38,31.0597,(13),0.200344,0.00685942,(38),135.246,(28),none
39,34.5357,(30),0.19985,0.00497903,(54),143.392,(24),none
40,32.3733,(19),0.193704,0.00683505,(39),135.185,(29),none
41,32.6949,(20),0.188291,0.00620865,(42),134.545,(32),none
42,32.7656,(21),0.180203,0.00528263,(51),135.014,(30),none
43,32.0369,(18),0.172205,0.00529945,(50),132.797,(34),none
44,33.1791,(23),0.168338,0.0057528,(45),108.709,(51),none
45,34.4905,(29),0.161264,0.00638686,(41),105.08,(56),none
46,35.2033,(34),0.15922,0.00511354,(52),116.64,(43),none
47,32.8172,(22),0.158168,0.00595514,(43),105.37,(55),none
48,35.1634,(33),0.155834,0.0050164,(53),116.534,(44),none
49,31.5945,(16),0.153916,0.0047365,(57),129.731,(35),none
50,34.8337,(32),0.151265,0.00712117,(37),106.124,(53),none
51,33.226,(24),0.151235,0.00550886,(49),120.48,(40),none
52,31.5657,(15),0.144742,0.00570223,(46),100.392,(65),none
53,28.5305,(7),0.14466,0.00552924,(47),101.73,(63),none
54,29.4492,(11),0.140241,0.0055192,(48),121.484,(38),none
55,28.7543,(8),0.139761,0.00465893,(58),116.763,(42),none
56,31.8104,(17),0.139592,0.00577725,(44),114.712,(45),none
57,28.0294,(6),0.128679,0.00475905,(56),107.718,(52),none
58,31.3491,(14),0.124248,0.0049087,(55),111.613,(47),none
59,29.0236,(10),0.110599,0.00465682,(59),109.281,(50),none
60,27.1308,(0),0.0962835,0.00362087,(65),103.541,(60),none
61,27.9171,(4),0.095711,0.00378565,(63),105.535,(54),none
62,27.2116,(1),0.0942056,0.00402247,(60),104.572,(57),none
63,28.9745,(9),0.0941418,0.00396475,(61),102.04,(62),none
64,27.6307,(3),0.0928571,0.00355434,(66),103.992,(58),none
65,27.9811,(5),0.0924948,0.00385168,(62),102.766,(61),none
66,27.4661,(2),0.0920485,0.0036807,(64),103.918,(59),none
67,29.8794,(12),0.0884922,0.00341971,(67),100.037,(67),none
