Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
21,726.458,(288),111.564,3.683,(179),48.3792,(180),['76-Os-192_n-tot']
22,104.573,(61),111.167,4.607,(153),90.9816,(15),['76-Os-188_n-tot']
23,2291.15,(405),102.423,19.07,(56),42.5213,(261),['76-Os-189_n-tot']
24,4261.11,(473),100.097,25.96,(39),33.0435,(408),['76-Os-189_n-tot']
25,4718.27,(483),100.022,70.86,(9),32.9859,(412),['76-Os-189_n-tot']
26,1071.71,(343),97.8206,28.21,(34),61.2246,(70),['76-Os-189_n-tot']
27,188.311,(101),96.513,6.133,(129),55.3044,(119),['76-Os-188_n-tot']
28,3204.53,(449),92.182,15.15,(69),40.2832,(306),['76-Os-189_n-tot']
29,2.71297,(0),91.9477,3.34918,(196),12.5065,(481),['76-Os-188_n-tot']
30,1308.94,(357),89.1997,13.23,(78),55.0036,(123),['76-Os-189_n-tot']
31,4632.56,(482),88.1411,44.28,(18),31.7339,(431),['76-Os-189_n-tot']
32,1902.72,(384),81.935,23.93,(42),48.3077,(181),['76-Os-189_n-tot']
33,106.123,(62),80.8668,2.773,(215),62.3097,(62),['76-Os-188_n-tot']
34,250.989,(142),74.8127,2.542,(233),75.5049,(26),['76-Os-188_n-tot']
35,408.9,(221),73.1678,1.557,(306),128.437,(7),['76-Os-188_n-tot']
36,210.917,(112),71.2759,2.868,(211),74.7331,(28),['76-Os-188_n-tot']
37,103.241,(60),69.5857,4.4816,(156),62.0632,(67),['76-Os-188_n-tot']
38,481.994,(238),64.5157,2.731,(218),46.2745,(211),['76-Os-189_n-tot']
39,799.928,(306),62.8883,3.648,(181),65.3381,(48),['76-Os-188_n-tot']
40,838.657,(313),61.3945,3.57,(183),71.2256,(35),['76-Os-189_n-tot']
41,474.017,(237),59.9021,4.36,(159),36.6551,(369),['76-Os-189_n-tot']
42,62.6219,(38),59.5535,0.8778,(381),55.4776,(116),['76-Os-188_n-tot']
43,314.085,(180),59.0085,1.545,(307),79.7273,(22),['76-Os-189_n-tot']
44,135.213,(75),55.8668,2.287,(254),62.1349,(65),['76-Os-187_n-tot']
45,1404.04,(362),55.6789,8.27,(112),53.2695,(140),['76-Os-189_n-tot']
46,718.595,(287),55.4241,1.857,(280),37.2786,(360),['76-Os-192_n-tot']
47,2134.05,(395),55.2892,40.84,(22),44.3144,(234),['76-Os-189_n-tot']
48,1869.74,(383),54.7116,12.48,(87),46.705,(203),['76-Os-189_n-tot']
49,140.616,(76),54.6614,1.999,(273),63.6277,(58),['76-Os-188_n-tot']
50,5.6185,(2),54.3382,1.22744,(337),15.2586,(469),['76-Os-190_n-tot']
51,2268.75,(404),53.9711,39.82,(24),42.7809,(254),['76-Os-189_n-tot']
52,37.076,(22),53.711,1.4045,(318),13.5559,(476),['76-Os-189_n-tot']
53,252.217,(143),53.5341,2.488,(238),47.2833,(195),['76-Os-188_n-tot']
54,3716.73,(464),53.2424,7.37,(117),42.5817,(258),['76-Os-189_n-tot']
55,3698.46,(463),50.8089,5.26,(144),38.5704,(335),['76-Os-189_n-tot']
56,2406.41,(411),49.1535,15.79,(64),41.8274,(276),['76-Os-189_n-tot']
57,3050.85,(443),48.8736,14.23,(73),37.7671,(352),['76-Os-189_n-tot']
58,3031.14,(442),47.7439,40.5,(23),37.758,(353),['76-Os-189_n-tot']
59,519.239,(242),47.2201,8.904,(108),33.479,(402),['76-Os-192_n-tot']
60,406.103,(220),47.1485,2.617,(227),41.3357,(285),['76-Os-188_n-tot']
61,3594.05,(461),45.2504,151.63,(2),35.5013,(383),['76-Os-189_n-tot']
62,90.711,(55),44.0574,0.9381,(371),73.2044,(31),['76-Os-192_n-tot']
63,53.4287,(33),42.6479,2.6576,(225),11.7575,(483),['76-Os-190_n-tot']
64,110.636,(63),42.1711,1.365,(321),71.9303,(33),['76-Os-188_n-tot']
65,3927.3,(466),41.48,41.44,(21),35.928,(375),['76-Os-189_n-tot']
66,4875.97,(487),41.4633,22.82,(46),31.3563,(436),['76-Os-189_n-tot']
67,508.23,(241),41.3658,3.824,(172),31.7287,(432),['76-Os-192_n-tot']
68,3413.28,(459),40.9366,55.05,(13),36.6737,(368),['76-Os-187_n-tot']
69,120.298,(69),40.7617,2.169,(261),92.4294,(13),['76-Os-188_n-tot']
70,29.9448,(17),40.6874,1.4363,(315),13.5046,(478),['76-Os-190_n-tot']
71,1668.68,(372),40.1181,9.85,(104),49.3098,(172),['76-Os-189_n-tot']
72,152.047,(80),40.0421,1.469,(314),67.3544,(47),['76-Os-189_n-tot']
73,4480.07,(479),39.9888,26.61,(37),34.6161,(392),['76-Os-189_n-tot']
74,540.881,(245),39.3831,2.478,(240),51.0784,(155),['76-Os-192_n-tot']
75,3097.94,(444),39.365,38.64,(25),38.0503,(345),['76-Os-189_n-tot']
76,130.193,(71),39.0581,2.768,(216),80.0197,(21),['76-Os-188_n-tot']
77,9.29643,(4),38.5759,0.24891,(479),151.162,(5),['76-Os-190_n-tot']
78,148.259,(79),38.5321,1.377,(319),68.3803,(44),['76-Os-189_n-tot']
79,16.875,(9),36.8497,3.3507,(195),10.8304,(486),['76-Os-190_n-tot']
80,1344.9,(359),36.5528,19.7,(53),54.823,(124),['76-Os-189_n-tot']
81,215.487,(114),35.9825,1.293,(328),70.6323,(38),['76-Os-188_n-tot']
82,2369.09,(408),35.8389,51.43,(16),43.254,(248),['76-Os-187_n-tot']
83,741.477,(291),35.7934,5.978,(132),31.8196,(430),['76-Os-189_n-tot']
84,496.033,(239),35.2211,11.87,(92),34.7124,(391),['76-Os-188_n-tot']
85,389.644,(215),34.9607,0.898,(379),190.997,(4),['76-Os-189_n-tot']
86,1321.93,(358),34.4095,4.69,(152),61.1756,(71),['76-Os-189_n-tot']
87,3433.97,(460),33.8307,15.61,(67),36.6013,(370),['76-Os-189_n-tot']
88,13.4438,(7),33.6001,0.6624,(407),25.3144,(456),['76-Os-188_n-tot']
89,64.5923,(39),33.344,0.5588,(423),87.3919,(18),['76-Os-188_n-tot']
90,2306.65,(406),33.0169,6.12,(130),48.3981,(179),['76-Os-189_n-tot']
91,211.999,(113),32.8993,1.037,(362),64.563,(54),['76-Os-188_n-tot']
92,439.629,(231),32.1584,8.195,(113),40.2716,(309),['76-Os-188_n-tot']
93,9.83262,(5),31.8226,0.52008,(431),49.5161,(170),['76-Os-190_n-tot']
94,2985.58,(441),31.7951,8.68,(111),40.9169,(293),['76-Os-189_n-tot']
95,39.3835,(23),31.5938,0.4027,(455),139.911,(6),['76-Os-189_n-tot']
96,4444.23,(478),31.548,10.34,(100),32.5538,(423),['76-Os-189_n-tot']
97,57.1827,(34),31.4866,2.0819,(265),13.0531,(479),['76-Os-190_n-tot']
98,410.967,(222),31.2888,2.215,(257),43.8455,(243),['76-Os-188_n-tot']
99,618.112,(263),31.25,7.756,(116),30.7523,(440),['76-Os-189_n-tot']
100,400.985,(219),31.2343,3.506,(185),40.3154,(305),['76-Os-188_n-tot']
101,411.384,(223),31.1323,2.211,(258),53.6099,(135),['76-Os-188_n-tot']
102,4226.73,(472),31.1202,13.18,(79),33.0344,(409),['76-Os-189_n-tot']
103,1685.08,(373),31.0855,9.91,(103),52.3026,(147),['76-Os-189_n-tot']
104,189.837,(102),29.8732,1.841,(284),49.2736,(173),['76-Os-189_n-tot']
105,866.068,(315),29.1692,2.687,(222),72.3027,(32),['76-Os-189_n-tot']
106,4284.63,(474),29.0099,14.08,(75),36.4173,(371),['76-Os-189_n-tot']
107,92.3489,(56),28.0384,0.5642,(420),91.0585,(14),['76-Os-192_n-tot']
108,19.6477,(10),27.8744,1.0486,(360),15.9292,(467),['76-Os-190_n-tot']
109,2088.16,(394),27.5199,22.93,(45),44.8901,(226),['76-Os-187_n-tot']
110,565.527,(251),26.9782,11.383,(93),33.7724,(399),['76-Os-188_n-tot']
111,126.308,(70),26.5596,0.823,(386),230.443,(0),['76-Os-188_n-tot']
112,2469.82,(414),26.5567,29.4,(32),42.7238,(255),['76-Os-187_n-tot']
113,342.84,(193),26.3154,1.607,(301),109.746,(10),['76-Os-187_n-tot']
114,777.996,(300),26.0835,1.733,(288),48.7645,(176),['76-Os-189_n-tot']
115,96.9116,(59),26.0419,1.8535,(282),69.5561,(39),['76-Os-188_n-tot']
116,27.9604,(16),25.188,0.5402,(426),27.5906,(454),['76-Os-190_n-tot']
117,789.76,(302),25.1479,4.925,(148),34.3963,(396),['76-Os-188_n-tot']
118,3398.35,(458),24.6958,54.71,(14),37.4176,(358),['76-Os-187_n-tot']
119,2623.24,(422),24.0113,34.93,(29),40.8571,(295),['76-Os-189_n-tot']
120,44.0518,(27),23.6974,0.6341,(410),29.7572,(446),['76-Os-188_n-tot']
121,42.7285,(26),23.5194,0.91,(376),18.6359,(463),['76-Os-188_n-tot']
122,926.954,(327),23.1278,7.219,(118),57.8324,(95),['76-Os-188_n-tot']
123,3313.75,(455),22.8459,27.55,(35),38.4758,(336),['76-Os-189_n-tot']
124,61.3216,(37),22.7231,0.7437,(392),41.9907,(273),['76-Os-190_n-tot']
125,1987.47,(390),22.5908,15.07,(70),47.3592,(194),['76-Os-189_n-tot']
126,41.3055,(25),22.3792,0.7778,(390),22.8516,(458),['76-Os-188_n-tot']
127,2566.87,(420),22.3484,20.83,(51),41.205,(289),['76-Os-189_n-tot']
128,748.162,(292),22.1381,2.426,(244),34.5096,(394),['76-Os-189_n-tot']
129,1398.5,(361),21.7366,36.05,(28),53.4756,(138),['76-Os-187_n-tot']
130,393.311,(216),21.5351,2.488,(239),50.2791,(161),['76-Os-188_n-tot']
131,2434.47,(413),21.517,12.32,(91),42.37,(264),['76-Os-189_n-tot']
132,460.416,(234),20.8128,6.951,(122),37.5395,(356),['76-Os-188_n-tot']
133,1354.73,(360),20.5885,8.04,(115),56.1166,(112),['76-Os-189_n-tot']
134,676.905,(278),20.5614,3.047,(203),28.6762,(450),['76-Os-187_n-tot']
135,998.718,(339),19.9737,8.855,(109),57.0164,(105),['76-Os-188_n-tot']
136,685.256,(279),19.5716,4.866,(150),29.6947,(447),['76-Os-192_n-tot']
137,4955.81,(489),19.3572,58.2,(12),32.4826,(425),['76-Os-189_n-tot']
138,21.064,(12),19.3468,0.9098,(377),14.4973,(470),['76-Os-190_n-tot']
139,3124.81,(446),18.7453,11.09,(95),37.7884,(351),['76-Os-189_n-tot']
140,234.503,(129),18.4353,1.185,(341),47.1632,(197),['76-Os-188_n-tot']
141,2495.6,(416),18.1526,6.09,(131),41.2532,(287),['76-Os-189_n-tot']
142,1213.8,(349),17.879,8.79,(110),57.3074,(102),['76-Os-189_n-tot']
143,1517.29,(367),16.9192,12.46,(88),52.0983,(148),['76-Os-189_n-tot']
144,3279.82,(454),16.8203,10.65,(98),37.369,(359),['76-Os-189_n-tot']
145,647.136,(272),16.2382,3.455,(188),31.4082,(435),['76-Os-189_n-tot']
146,525.314,(243),15.7683,5.37,(142),32.858,(415),['76-Os-189_n-tot']
147,783.323,(301),15.5105,1.095,(355),88.5585,(16),['76-Os-189_n-tot']
148,4847.63,(486),15.4913,29.08,(33),32.0607,(428),['76-Os-189_n-tot']
149,237.672,(133),15.4682,1.144,(346),51.9839,(149),['76-Os-188_n-tot']
150,74.4788,(48),15.446,0.4146,(453),43.5062,(247),['76-Os-190_n-tot']
151,243.54,(134),15.3592,5.584,(136),43.7857,(245),['76-Os-188_n-tot']
152,4889.8,(488),15.3204,7.06,(121),33.7219,(400),['76-Os-189_n-tot']
153,2419.48,(412),15.02,6.26,(128),44.9698,(223),['76-Os-189_n-tot']
154,421.982,(228),14.9506,2.351,(246),47.5902,(188),['76-Os-188_n-tot']
155,3351.06,(457),14.8733,12.52,(86),36.9343,(362),['76-Os-189_n-tot']
156,204.342,(108),14.8251,2.338,(248),47.4599,(192),['76-Os-187_n-tot']
157,59.0823,(36),14.4953,1.5614,(305),13.5918,(474),['76-Os-190_n-tot']
158,817.315,(309),14.3793,7.144,(119),55.1271,(122),['76-Os-188_n-tot']
159,88.4996,(54),14.2968,1.9029,(277),68.5706,(43),['76-Os-188_n-tot']
160,2653.4,(423),14.2282,24.76,(41),41.611,(279),['76-Os-189_n-tot']
161,1290.22,(355),14.2077,21.32,(50),55.3567,(117),['76-Os-189_n-tot']
162,2969.34,(440),14.0904,3.42,(190),40.7929,(296),['76-Os-189_n-tot']
163,51.2102,(32),14.0874,0.4215,(451),47.0851,(198),['76-Os-190_n-tot']
164,312.264,(179),13.9207,1.856,(281),50.634,(156),['76-Os-186_n-tot']
165,580.773,(253),13.763,8.093,(114),32.3318,(426),['76-Os-188_n-tot']
166,2151.47,(396),13.5057,12.42,(89),45.4397,(220),['76-Os-189_n-tot']
167,652.869,(273),13.3678,3.847,(170),31.4203,(434),['76-Os-189_n-tot']
168,4742.17,(484),13.3197,18.17,(59),32.9341,(413),['76-Os-189_n-tot']
169,209.055,(111),13.0846,2.466,(241),47.916,(185),['76-Os-186_n-tot']
170,2582.24,(421),13.0582,11.26,(94),42.3722,(263),['76-Os-189_n-tot']
171,1021.61,(340),13.0016,19.68,(54),62.1923,(64),['76-Os-187_n-tot']
172,1776.3,(378),12.8934,26.9,(36),48.9662,(174),['76-Os-189_n-tot']
173,200.437,(107),12.8821,0.705,(397),62.1291,(66),['76-Os-192_n-tot']
174,39.9542,(24),12.8453,0.5148,(433),32.5514,(424),['76-Os-188_n-tot']
175,703.906,(283),12.801,1.827,(286),29.9404,(445),['76-Os-189_n-tot']
176,2729.76,(426),12.6823,58.9,(11),40.7621,(298),['76-Os-187_n-tot']
177,3241.41,(452),12.6739,17.01,(62),39.4477,(324),['76-Os-187_n-tot']
178,450.841,(233),12.4348,3.679,(180),39.0195,(330),['76-Os-188_n-tot']
179,344.047,(194),12.1367,1.105,(354),47.2314,(196),['76-Os-192_n-tot']
180,1180.28,(347),11.9402,12.63,(85),58.7791,(86),['76-Os-189_n-tot']
181,1038.98,(342),11.8464,1.67,(296),64.9586,(49),['76-Os-189_n-tot']
182,235.568,(132),11.6795,0.507,(435),204.253,(2),['76-Os-188_n-tot']
183,971.735,(334),11.5613,6.599,(125),57.5296,(99),['76-Os-187_n-tot']
184,46.9584,(30),11.5348,0.694,(401),17.0627,(465),['76-Os-188_n-tot']
185,4812.47,(485),11.5055,62.94,(10),32.5982,(420),['76-Os-189_n-tot']
186,230.508,(124),11.4905,1.655,(297),46.579,(209),['76-Os-192_n-tot']
187,937.087,(329),11.2285,3.054,(202),58.5227,(89),['76-Os-188_n-tot']
188,913.604,(325),11.2164,3.409,(192),57.7946,(97),['76-Os-188_n-tot']
189,446.637,(232),11.2101,4.411,(158),40.2507,(310),['76-Os-188_n-tot']
190,3108.5,(445),11.1898,6.67,(124),37.5423,(355),['76-Os-189_n-tot']
191,235.547,(130),11.165,0.499,(436),204.439,(1),['76-Os-188_n-tot']
192,235.561,(131),11.165,0.499,(437),204.212,(3),['76-Os-188_n-tot']
193,4.2624,(1),10.8397,1.28242,(333),12.2856,(482),['76-Os-186_n-tot']
194,45.4815,(28),10.6237,0.6291,(411),20.7493,(460),['76-Os-187_n-tot']
195,950.926,(331),10.3228,3.772,(175),57.7979,(96),['76-Os-188_n-tot']
196,2061.09,(393),10.1356,42.27,(20),45.9398,(214),['76-Os-189_n-tot']
197,248.6,(141),10.1065,1.286,(330),43.2388,(249),['76-Os-188_n-tot']
198,345.882,(195),10.0923,0.733,(395),61.6583,(68),['76-Os-192_n-tot']
199,2801.93,(429),9.74186,36.61,(27),39.9543,(314),['76-Os-187_n-tot']
200,22.7862,(13),9.58634,0.3334,(465),31.3223,(437),['76-Os-187_n-tot']
201,808.018,(308),9.40824,3.288,(198),54.1143,(131),['76-Os-188_n-tot']
202,944.959,(330),9.40243,2.509,(235),59.5096,(81),['76-Os-188_n-tot']
203,985.704,(337),9.26262,3.764,(176),58.5787,(88),['76-Os-188_n-tot']
204,1739.64,(376),9.01848,18.96,(57),50.0357,(163),['76-Os-189_n-tot']
205,1799.8,(379),8.99486,5.0,(147),48.08,(183),['76-Os-189_n-tot']
